order_id,sale_date,delivery_date,delivery_status,product,customer_feedback,sales_region,quantity,sales_amount_cny,月份,货品交货状况,销售区域,货品,delivery_days,is_on_time,data_quality_flag
P124940,2016-09-15,2016-12-15,按时交货,货品5,质量合格,泰国,1.0,205.42,9,按时交货,泰国,货品5,91,True,正常
P125296,2016-09-15,2016-12-15,按时交货,货品6,质量合格,马来西亚,2.0,31.24,9,按时交货,马来西亚,货品6,91,True,正常
P125385,2016-10-15,2017-1-15,按时交货,货品6,质量合格,马来西亚,1.0,44.91,10,按时交货,马来西亚,货品6,92,True,正常
P125534,2016-10-15,2017-1-15,按时交货,货品5,返修,泰国,1.0,127.29,10,按时交货,泰国,货品5,92,True,正常
P125535,2016-09-15,2016-12-15,按时交货,货品5,返修,泰国,1.0,109.75,9,按时交货,泰国,货品5,91,True,正常
P126485,2016-10-30,2016-12-30,按时交货,货品5,拒货,泰国,1.0,303.29,10,按时交货,泰国,货品5,61,True,正常
P126486,2016-10-30,2016-12-30,按时交货,货品5,质量合格,泰国,1.0,142.36,10,按时交货,泰国,货品5,61,True,正常
P126487,2016-10-30,2016-12-30,按时交货,货品6,质量合格,马来西亚,1.0,8.45,10,按时交货,马来西亚,货品6,61,True,正常
P126788,2016-12-30,2017-2-28,晚交货,货品1,拒货,华南,1.0,4485.39,12,晚交货,华南,货品1,60,False,正常
P127037,2016-10-30,2016-12-30,按时交货,货品4,质量合格,西北,1.0,440.01,10,按时交货,西北,货品4,61,True,正常
P127069,2016-10-30,2016-12-30,晚交货,货品2,拒货,华东,1.0,102.66,10,晚交货,华东,货品2,61,False,正常
P127202,2016-10-15,2017-1-15,按时交货,货品5,质量合格,泰国,1.0,283.02,10,按时交货,泰国,货品5,92,True,正常
P128120,2016-12-01,2017-1-31,按时交货,货品6,返修,马来西亚,1.0,24.98,12,按时交货,马来西亚,货品6,61,True,正常
P128238,2016-07-30,2016-9-30,晚交货,货品2,拒货,华东,1.0,458.29,7,晚交货,华东,货品2,62,False,正常
P128387,2016-11-30,2017-1-30,按时交货,货品5,质量合格,泰国,1.0,365.39,11,按时交货,泰国,货品5,61,True,正常
P128643,2016-12-01,2017-1-31,按时交货,货品6,返修,马来西亚,1.0,90.84,12,按时交货,马来西亚,货品6,61,True,正常
P129172,2016-08-29,2016-10-29,晚交货,货品2,返修,华东,2.0,13733.72,8,晚交货,华东,货品2,61,False,正常
P129639,2016-11-15,2017-2-15,按时交货,货品6,质量合格,马来西亚,1.0,18.65,11,按时交货,马来西亚,货品6,92,True,正常
P129929,2016-12-30,2017-2-28,按时交货,货品6,返修,马来西亚,1.0,26.25,12,按时交货,马来西亚,货品6,60,True,正常
P129930,2016-12-30,2017-2-28,按时交货,货品6,质量合格,马来西亚,1.0,24.43,12,按时交货,马来西亚,货品6,60,True,正常
P130559,2016-12-30,2017-2-28,按时交货,货品6,质量合格,马来西亚,1.0,13.09,12,按时交货,马来西亚,货品6,60,True,正常
P132063,2016-07-30,2016-9-30,按时交货,货品3,拒货,华北,2.0,153.62,7,按时交货,华北,货品3,62,True,正常
P132063,2016-07-30,2016-9-30,按时交货,货品3,拒货,华北,2.0,155.07,7,按时交货,华北,货品3,62,True,正常
P132964,2016-11-16,2017-2-16,晚交货,货品2,拒货,华东,1.0,3599.76,11,晚交货,华东,货品2,92,False,正常
P135728,2016-08-30,2016-10-30,按时交货,货品3,质量合格,华北,4.0,62.96,8,按时交货,华北,货品3,61,True,正常
P135728,2016-08-30,2016-10-30,按时交货,货品6,质量合格,马来西亚,4.0,34.89,8,按时交货,马来西亚,货品6,61,True,正常
P135735,2016-11-30,2017-1-30,按时交货,货品3,质量合格,华北,4.0,62.96,11,按时交货,华北,货品3,61,True,正常
P135735,2016-11-30,2017-1-30,按时交货,货品6,质量合格,马来西亚,4.0,34.89,11,按时交货,马来西亚,货品6,61,True,正常
P135737,2016-08-30,2016-10-30,按时交货,货品3,质量合格,华北,4.0,62.96,8,按时交货,华北,货品3,61,True,正常
P135737,2016-08-30,2016-10-30,按时交货,货品6,返修,马来西亚,4.0,34.89,8,按时交货,马来西亚,货品6,61,True,正常
P135951,2016-09-25,2016-11-25,按时交货,货品1,质量合格,西北,1.0,90000.46,9,按时交货,西北,货品1,61,True,正常
P135951,2016-09-25,2016-11-25,按时交货,货品1,质量合格,华南,1.0,92595.22,9,按时交货,华南,货品1,61,True,正常
P137613,2016-08-31,2016-10-31,按时交货,货品3,质量合格,华北,1.0,75.32,8,按时交货,华北,货品3,61,True,正常
P137613,2016-08-31,2016-10-31,按时交货,货品3,质量合格,华北,1.0,47.58,8,按时交货,华北,货品3,61,True,正常
P138559,2016-08-30,2016-10-30,按时交货,货品1,质量合格,华北,1.0,13712.8,8,按时交货,华北,货品1,61,True,正常
P144800,2016-08-16,2016-11-16,晚交货,货品3,拒货,华北,1.0,1367.02,8,晚交货,华北,货品3,92,False,正常
P144841,2016-08-24,2016-11-24,按时交货,货品5,质量合格,泰国,1.0,329.98,8,按时交货,泰国,货品5,92,True,正常
P146012,2016-10-17,2017-1-17,晚交货,货品2,拒货,华东,1.0,19283.9,10,晚交货,华东,货品2,92,False,正常
P146166,2016-07-30,2016-9-30,晚交货,货品2,拒货,华东,1.0,557.17,7,晚交货,华东,货品2,62,False,正常
P150740,2016-07-30,2016-9-30,按时交货,货品4,质量合格,西北,2.0,351.52,7,按时交货,西北,货品4,62,True,正常
P150740,2016-07-30,2016-9-30,晚交货,货品4,质量合格,西北,2.0,371.15,7,晚交货,西北,货品4,62,False,正常
P152820,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,40.0,34.07,7,按时交货,华北,货品3,62,True,正常
P152820,2016-07-30,2016-9-30,按时交货,货品3,返修,华北,40.0,34.07,7,按时交货,华北,货品3,62,True,正常
P153464,2016-11-30,2017-1-30,按时交货,货品6,质量合格,马来西亚,1.0,683.68,11,按时交货,马来西亚,货品6,61,True,正常
P153464,2016-11-30,2017-1-30,按时交货,货品6,质量合格,马来西亚,1.0,683.68,11,按时交货,马来西亚,货品6,61,True,正常
P155360,2016-11-07,2017-2-7,晚交货,货品2,拒货,华东,1.0,2978.48,11,晚交货,华东,货品2,92,False,正常
P155360,2016-10-01,2016-11-30,晚交货,货品2,拒货,华东,1.0,0.0,10,晚交货,华东,货品2,60,False,正常
P155427,2016-08-12,2016-11-12,晚交货,货品2,拒货,华东,1.0,154.06,8,晚交货,华东,货品2,92,False,正常
P155700,2016-07-30,2016-9-30,按时交货,货品6,返修,马来西亚,2.0,200.79,7,按时交货,马来西亚,货品6,62,True,正常
P158480,2016-07-20,2016-10-20,按时交货,货品3,质量合格,华北,80.0,151.98,7,按时交货,华北,货品3,92,True,正常
P158480,2016-07-20,2016-10-20,按时交货,货品3,质量合格,华北,96.0,77.1,7,按时交货,华北,货品3,92,True,正常
P159946,2016-08-15,2016-11-15,晚交货,货品2,返修,华东,21.0,2219.87,8,晚交货,华东,货品2,92,False,正常
P159952,2016-09-30,2016-11-30,晚交货,货品2,拒货,华东,21.0,357.52,9,晚交货,华东,货品2,61,False,正常
P161989,2016-08-15,2016-11-15,晚交货,货品3,质量合格,华北,6.0,3034.66,8,晚交货,华北,货品3,92,False,正常
P162144,2016-09-12,2016-12-12,晚交货,货品2,拒货,华东,1500.0,4135.11,9,晚交货,华东,货品2,91,False,正常
P163341,2016-08-30,2016-10-30,晚交货,货品2,质量合格,华东,1.0,2.22,8,晚交货,华东,货品2,61,False,正常
P163341,2016-08-30,2016-10-30,按时交货,货品6,返修,马来西亚,1.0,1.38,8,按时交货,马来西亚,货品6,61,True,正常
P163365,2016-07-20,2016-10-20,按时交货,货品3,拒货,华北,2.0,21.0,7,按时交货,华北,货品3,92,True,正常
P164647,2016-07-15,2016-10-15,按时交货,货品3,返修,华北,1.0,3488.41,7,按时交货,华北,货品3,92,True,正常
P165493,2016-07-30,2016-9-30,按时交货,货品3,返修,华北,2.0,7.15,7,按时交货,华北,货品3,62,True,正常
P165641,2016-08-25,2016-10-25,按时交货,货品6,质量合格,马来西亚,24.0,14.85,8,按时交货,马来西亚,货品6,61,True,正常
P165641,2016-08-25,2016-10-25,按时交货,货品6,返修,马来西亚,24.0,14.85,8,按时交货,马来西亚,货品6,61,True,正常
P165673,2016-07-30,2016-9-30,按时交货,货品2,返修,华东,1.0,268.59,7,按时交货,华东,货品2,62,True,正常
P165673,2016-07-30,2016-9-30,按时交货,货品2,质量合格,华东,1.0,109.76,7,按时交货,华东,货品2,62,True,正常
P165692,2016-07-15,2016-10-15,按时交货,货品6,质量合格,马来西亚,6.0,548.58,7,按时交货,马来西亚,货品6,92,True,正常
P165692,2016-07-15,2016-10-15,按时交货,货品6,质量合格,马来西亚,6.0,548.58,7,按时交货,马来西亚,货品6,92,True,正常
P166323,2016-07-29,2016-9-29,按时交货,货品3,返修,华北,4.0,790.73,7,按时交货,华北,货品3,62,True,正常
P167201,2016-07-30,2016-9-30,按时交货,货品6,返修,马来西亚,1.0,11.84,7,按时交货,马来西亚,货品6,62,True,正常
P167388,2016-07-30,2016-9-30,晚交货,货品4,质量合格,西北,2.0,763.17,7,晚交货,西北,货品4,62,False,正常
P167411,2016-07-20,2016-10-20,按时交货,货品2,质量合格,华东,1.0,423.36,7,按时交货,华东,货品2,92,True,正常
P167411,2016-07-20,2016-10-20,按时交货,货品2,返修,华东,1.0,423.36,7,按时交货,华东,货品2,92,True,正常
P167417,2016-07-20,2016-10-20,按时交货,货品2,质量合格,华东,1.0,423.36,7,按时交货,华东,货品2,92,True,正常
P167417,2016-07-20,2016-10-20,按时交货,货品2,质量合格,华东,1.0,423.36,7,按时交货,华东,货品2,92,True,正常
P167981,2016-08-10,2016-11-10,晚交货,货品2,质量合格,华东,1.0,545.98,8,晚交货,华东,货品2,92,False,正常
P171760,2016-08-29,2016-10-29,按时交货,货品3,质量合格,华北,2.0,924.65,8,按时交货,华北,货品3,61,True,正常
P171890,2016-08-22,2016-11-22,按时交货,货品3,拒货,华北,1.0,2628.66,8,按时交货,华北,货品3,92,True,正常
P173979,2016-07-20,2016-10-20,按时交货,货品3,拒货,华北,2.0,94.67,7,按时交货,华北,货品3,92,True,正常
P174082,2016-07-30,2016-9-30,按时交货,货品6,返修,马来西亚,2.0,23.67,7,按时交货,马来西亚,货品6,62,True,正常
P174127,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,1.0,747.37,7,按时交货,华北,货品3,62,True,正常
P175427,2016-12-30,2017-2-28,按时交货,货品2,拒货,华东,288.0,210.62,12,按时交货,华东,货品2,60,True,正常
P175427,2016-12-30,2017-2-28,按时交货,货品2,拒货,华东,288.0,210.62,12,按时交货,华东,货品2,60,True,正常
P175433,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,1.0,1741.4,7,按时交货,华北,货品3,62,True,正常
P175447,2016-09-15,2016-12-15,按时交货,货品2,质量合格,华东,1.0,460.09,9,按时交货,华东,货品2,91,True,正常
P175451,2016-08-15,2016-11-15,晚交货,货品4,返修,西北,1.0,737.45,8,晚交货,西北,货品4,92,False,正常
P175498,2016-08-15,2016-11-15,按时交货,货品5,返修,泰国,1.0,191.87,8,按时交货,泰国,货品5,92,True,正常
P175591,2016-10-01,2016-11-30,按时交货,货品2,拒货,华东,2.0,26.29,10,按时交货,华东,货品2,60,True,正常
P176334,2016-07-15,2016-10-15,按时交货,货品6,返修,马来西亚,84.0,543.49,7,按时交货,马来西亚,货品6,92,True,正常
P176334,2016-07-15,2016-10-15,按时交货,货品6,质量合格,马来西亚,84.0,543.49,7,按时交货,马来西亚,货品6,92,True,正常
P177109,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,1.0,114.96,7,按时交货,泰国,货品5,62,True,正常
P177282,2016-07-20,2016-10-20,按时交货,货品3,质量合格,华北,1.0,236.16,7,按时交货,华北,货品3,92,True,正常
P178157,2016-07-30,2016-9-30,按时交货,货品2,拒货,华东,1.0,749.84,7,按时交货,华东,货品2,62,True,正常
P178157,2016-07-30,2016-9-30,按时交货,货品2,返修,华东,1.0,749.84,7,按时交货,华东,货品2,62,True,正常
P178212,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,1.0,85.6,7,按时交货,泰国,货品5,62,True,正常
P178212,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,1.0,85.6,7,按时交货,泰国,货品5,62,True,正常
P178341,2016-08-31,2016-10-31,按时交货,货品3,质量合格,华北,1.0,3285.04,8,按时交货,华北,货品3,61,True,正常
P178343,2016-08-12,2016-11-12,按时交货,货品1,质量合格,华北,1.0,10446.44,8,按时交货,华北,货品1,92,True,正常
P178381,2016-07-15,2016-10-15,按时交货,货品6,返修,马来西亚,1.0,42.64,7,按时交货,马来西亚,货品6,92,True,正常
P178437,2016-07-12,2016-10-12,晚交货,货品2,返修,华东,1.0,6832.89,7,晚交货,华东,货品2,92,False,正常
P180516,2016-07-20,2016-10-20,按时交货,货品2,拒货,华东,2.0,1.38,7,按时交货,华东,货品2,92,True,正常
P181098,2016-07-30,2016-9-30,按时交货,货品2,拒货,华东,2.0,2.77,7,按时交货,华东,货品2,62,True,正常
P181098,2016-07-30,2016-9-30,按时交货,货品2,拒货,华东,2.0,2.77,7,按时交货,华东,货品2,62,True,正常
P181184,2016-08-30,2016-10-30,按时交货,货品6,质量合格,马来西亚,28.0,9.17,8,按时交货,马来西亚,货品6,61,True,正常
P181184,2016-08-30,2016-10-30,按时交货,货品6,质量合格,马来西亚,28.0,9.17,8,按时交货,马来西亚,货品6,61,True,正常
P181233,2016-07-30,2016-9-30,按时交货,货品2,拒货,华东,1.0,287.49,7,按时交货,华东,货品2,62,True,正常
P181846,2016-10-01,2016-11-30,按时交货,货品1,返修,华北,1.0,6769.22,10,按时交货,华北,货品1,60,True,正常
P181907,2016-07-30,2016-9-30,按时交货,货品6,返修,马来西亚,1.0,36.67,7,按时交货,马来西亚,货品6,62,True,正常
P181953,2016-07-30,2016-9-30,按时交货,货品5,拒货,泰国,60.0,124.11,7,按时交货,泰国,货品5,62,True,正常
P181988,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,12.0,59.72,7,按时交货,华北,货品3,62,True,正常
P181988,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,2.0,5.24,7,按时交货,华北,货品3,62,True,正常
P182017,2016-07-15,2016-10-15,按时交货,货品4,返修,西北,1.0,759.55,7,按时交货,西北,货品4,92,True,正常
P182776,2016-07-30,2016-9-30,按时交货,货品3,质量合格,华北,1.0,65.39,7,按时交货,华北,货品3,62,True,正常
P182781,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,8.0,77.12,7,按时交货,泰国,货品5,62,True,正常
P182781,2016-07-30,2016-9-30,按时交货,货品5,返修,泰国,1.0,23.54,7,按时交货,泰国,货品5,62,True,正常
P182817,2016-07-30,2016-9-30,按时交货,货品4,返修,西北,4.0,501.85,7,按时交货,西北,货品4,62,True,正常
P182850,2016-10-01,2016-11-30,按时交货,货品2,拒货,华东,6.0,114.8,10,按时交货,华东,货品2,60,True,正常
P182916,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,1.0,392.14,7,按时交货,泰国,货品5,62,True,正常
P183648,2016-11-30,2017-1-30,按时交货,货品2,拒货,华东,2.0,1.57,11,按时交货,华东,货品2,61,True,正常
P183648,2016-11-30,2017-1-30,按时交货,货品2,返修,华东,2.0,104.42,11,按时交货,华东,货品2,61,True,正常
P183742,2016-07-15,2016-10-15,按时交货,货品2,返修,华东,1.0,3818.0,7,按时交货,华东,货品2,92,True,正常
P183790,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,1.0,46.82,7,按时交货,泰国,货品5,62,True,正常
P183790,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,3.0,63.41,7,按时交货,泰国,货品5,62,True,正常
P183956,2016-08-15,2016-11-15,按时交货,货品6,质量合格,马来西亚,1.0,1141.36,8,按时交货,马来西亚,货品6,92,True,正常
P184524,2016-07-15,2016-10-15,按时交货,货品2,返修,华东,1.0,87.03,7,按时交货,华东,货品2,92,True,正常
P184529,2016-08-15,2016-11-15,按时交货,货品5,拒货,泰国,108.0,140.21,8,按时交货,泰国,货品5,92,True,正常
P184529,2016-08-15,2016-11-15,按时交货,货品5,返修,泰国,108.0,140.21,8,按时交货,泰国,货品5,92,True,正常
P184532,2016-08-15,2016-11-15,按时交货,货品2,返修,华东,24.0,311.57,8,按时交货,华东,货品2,92,True,正常
P184532,2016-08-15,2016-11-15,按时交货,货品2,拒货,华东,24.0,311.57,8,按时交货,华东,货品2,92,True,正常
P184547,2016-07-05,2016-10-5,按时交货,货品3,返修,华北,1260.0,342.93,7,按时交货,华北,货品3,92,True,正常
P184577,2016-07-30,2016-9-30,按时交货,货品6,返修,马来西亚,6.0,397.15,7,按时交货,马来西亚,货品6,62,True,正常
P184577,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,6.0,935.67,7,按时交货,马来西亚,货品6,62,True,正常
P185334,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,1.0,30.17,7,按时交货,马来西亚,货品6,62,True,正常
P185338,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,10.0,63.14,7,按时交货,马来西亚,货品6,62,True,正常
P185347,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,10.0,96.54,7,按时交货,泰国,货品5,62,True,正常
P185372,2016-07-30,2016-9-30,按时交货,货品5,质量合格,泰国,5.0,339.82,7,按时交货,泰国,货品5,62,True,正常
P186240,2016-12-30,2017-2-28,按时交货,货品2,拒货,华东,2.0,1438.86,12,按时交货,华东,货品2,60,True,正常
P186240,2016-12-30,2017-2-28,按时交货,货品2,拒货,华东,2.0,1791.67,12,按时交货,华东,货品2,60,True,正常
P186293,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,1.0,29.98,7,按时交货,马来西亚,货品6,62,True,正常
P186308,2016-09-09,2016-12-9,按时交货,货品3,质量合格,华北,400.0,282.88,9,按时交货,华北,货品3,91,True,正常
P186432,2016-09-06,2016-12-6,晚交货,货品2,拒货,华东,1.0,23715.31,9,晚交货,华东,货品2,91,False,正常
P186463,2016-07-27,2016-9-27,按时交货,货品3,返修,华北,100.0,94.02,7,按时交货,华北,货品3,62,True,正常
P186522,2016-08-30,2016-10-30,按时交货,货品2,返修,华东,268.0,20.44,8,按时交货,华东,货品2,61,True,正常
P186522,2016-08-30,2016-10-30,按时交货,货品2,拒货,华东,268.0,20.44,8,按时交货,华东,货品2,61,True,正常
P187216,2016-07-15,2016-10-15,按时交货,货品2,拒货,华东,80.0,142.65,7,按时交货,华东,货品2,92,True,正常
P187230,2016-10-30,2016-12-30,按时交货,货品2,质量合格,华东,2.0,1374.73,10,按时交货,华东,货品2,61,True,正常
P187241,2016-07-30,2016-9-30,按时交货,货品1,质量合格,华北,1.0,3528.65,7,按时交货,华北,货品1,62,True,正常
P187332,2016-10-01,2016-11-30,按时交货,货品5,拒货,泰国,1.0,396.24,10,按时交货,泰国,货品5,60,True,正常
P187346,2016-07-09,2016-10-9,按时交货,货品2,返修,华东,2.0,2.75,7,按时交货,华东,货品2,92,True,正常
P187379,2016-07-25,2016-9-25,按时交货,货品3,质量合格,华北,12.0,9.14,7,按时交货,华北,货品3,62,True,正常
P187396,2016-12-30,2017-2-28,按时交货,货品3,质量合格,华北,4.0,27.43,12,按时交货,华北,货品3,60,True,正常
P187396,2016-12-30,2017-2-28,按时交货,货品3,返修,华北,2.0,128.93,12,按时交货,华北,货品3,60,True,正常
P188071,2016-07-30,2016-9-30,按时交货,货品3,拒货,华北,5.0,45.62,7,按时交货,华北,货品3,62,True,正常
P188074,2016-07-10,2016-10-10,按时交货,货品2,质量合格,华东,2.0,320.23,7,按时交货,华东,货品2,92,True,正常
P188074,2016-07-10,2016-10-10,按时交货,货品2,质量合格,华东,2.0,320.23,7,按时交货,华东,货品2,92,True,正常
P188157,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,1.0,84.72,7,按时交货,马来西亚,货品6,62,True,正常
P188200,2016-07-30,2016-9-30,按时交货,货品3,返修,华北,1.0,2517.52,7,按时交货,华北,货品3,62,True,正常
P188745,2016-07-15,2016-10-15,按时交货,货品2,质量合格,华东,16.0,3059.7,7,按时交货,华东,货品2,92,True,正常
P188753,2016-07-30,2016-9-30,按时交货,货品6,质量合格,马来西亚,1.0,31.95,7,按时交货,马来西亚,货品6,62,True,正常
P188755,2016-08-15,2016-11-15,按时交货,货品2,质量合格,华东,1.0,717.77,8,按时交货,华东,货品2,92,True,正常
P188799,2016-09-30,2016-11-30,按时交货,货品3,质量合格,华北,168.0,110.09,9,按时交货,华北,货品3,61,True,正常
P188799,2016-09-30,2016-11-30,按时交货,货品3,质量合格,华北,18.0,16.46,9,按时交货,华北,货品3,61,True,正常
P189459,2016-09-09,2016-12-9,按时交货,货品3,质量合格,华北,8.0,9.12,9,按时交货,华北,货品3,91,True,正常
P189459,2016-09-09,2016-12-9,按时交货,货品3,质量合格,华北,8.0,9.12,9,按时交货,华北,货品3,91,True,正常
P189594,2016-07-25,2016-9-25,按时交货,货品2,拒货,华东,1.0,363.62,7,按时交货,华东,货品2,62,True,正常
